Date,合計,外資,投信,自營商
2018-04-30,-3721933190.923077,-3038014211.5384617,172078991.46153846,-855997970.8461539
2018-05-31,-3098131128.9411764,-2458393869.9411764,-136901327.52941176,-502835931.4705882
2018-06-30,-4063801260.65,-4166541823.55,-3348024.65,106088587.55
2018-07-31,532345340.72727275,371594277.8636364,218426217.3181818,-57675154.45454545
2018-08-31,797275012.826087,1418691323.347826,401036318.6956522,-1022452629.2173913
2018-09-30,3330530238.736842,3468643375.368421,-45986269.315789476,-92126867.31578948
2018-10-31,-7404311330.727273,-6496380850.0,-350827064.77272725,-557103415.9545455
2018-11-30,108600356.27272727,471595550.59090906,51609972.13636363,-414605166.45454544
2018-12-31,-4040796979.142857,-3187553689.571429,-23687817.666666668,-829555471.9047619
2019-01-31,2863635764.5238094,1759856800.8095238,112074591.61904761,991704372.0952381
2019-02-28,5748197848.923077,4978684862.307693,-144619902.84615386,914132889.4615384
2019-03-31,343777272.8,84229731.7,22487093.15,237060447.95
2019-04-30,3816503341.8333335,3040764900.611111,-164216754.33333334,939955195.5555556
