Date,TWII
2019/4/17,10997.25977
2019/4/18,10962.01953
2019/4/19,10968.5
2019/4/22,10987.70996
2019/4/23,11025.67969
2019/4/24,11027.63965
2019/4/25,11039.86035
2019/4/26,10952.46973
2019/4/29,10939.05957
2019/4/30,10967.73047
2019/5/2,11004.49023
2019/5/3,11096.2998
2019/5/6,10897.12012
2019/5/7,10987.13965
2019/5/8,10923.70996
2019/5/9,10733.66992
2019/5/10,10712.99023
2019/5/13,10558.29004
2019/5/14,10519.25
2019/5/15,10560.70996
2019/5/16,10474.61035
2019/5/17,10384.11035
2019/5/20,10398.41016
2019/5/21,10464.5
2019/5/22,10457.21973
2019/5/23,10308.37012
2019/5/24,10328.28027
2019/5/27,10334.12988
2019/5/28,10312.30957
